no,year_province_district,province_district,province,district,size_liras,size_dollars,houses,category,year,month,completion,project_name,firm
484,2013_manisa_demirci,manisa_demirci,manisa,demirci,18050000,9502151.75,,altyapi_sosyal,2013,6,%100,manisa demirci 75 yatakli yeni devlet hastanesi (ikmâl insaati),alfen Taah ins mad nak san Ve Tic Ltd sti
3,2013_manisa_kula,manisa_kula,manisa,kula,445000,234263.575,,ikmal_ihalesi,2013,7,%100,manisa kula engelsiz yasam merkezi. manisa merkez sosyal hizmeer Ve cocuk esirgeme kurumu il mudurluk binasi (ikmâl insaati),alfen Taah ins mad nak san Ve Tic Ltd sti
389,2013_manisa_Turgutlu,manisa_Turgutlu,manisa,Turgutlu,14450000,7606985.75,282,idare_konut,2013,6,%100,manisa ili Turgutlu ilcesi 2 mintika mahallesi 282 adet konut ve 1 adet sosyal Tesis insaaari ile altyapi Ve cevre duzenlemesi isi,evyap ins san Tic Ltd sti
80,2013_mardin_merkez,mardin_merkez,mardin,merkez,131955000,69465730.43,1453,kentsel_donusum,2013,4,%100,mardin merkez nur mahallesi 1423 adet konut. 1’er adet Ticaret merkezi ve cami. siirt merkez dogan mahallesi 300 kisilik cami insaaari ile altyapi ve cevre duzenlemesi isi,ozaras grup ins Taah san Tic as &amp; intekar yapi Tur elk ins san Tic Ltd sti is ortakligi
803,2013_mersin_akdeniz,mersin_akdeniz,mersin,akdeniz,4347320,2288581.404,,altyapi_sosyal,2013,8,%0,mersin ili merkez ilcesi davultepe mevkii 60 kapasiteli 7_18 yas sevgi evleri. 20 kapasiteli 0_6 yas sevgi evleri ve idari bina insaaari ile altyapi ve cevre duzenlemesi isi,kardes muh mus ins Ve Tic Ltd sti
525,2013_mersin_anamur,mersin_anamur,mersin,anamur,10544000,5550730.64,,altyapi_sosyal,2013,12,%100,mersin ili anamur  ilcesi 300 kisilik (310 kisi kapasiteli) yurt insaati ile altyapi Ve cevre duzenlemesi isi,seler Taah yapi san Ve Tic Ltdsti
784,2013_mersin_mezitli,mersin_mezitli,mersin,mezitli,1185000,623825.475,,altyapi_sosyal,2013,3,%98,mersin davultepe Rehabilitasyon merkezi ile altyapi Ve cevre duzenlemesi insaati isi (ikmâl insaati),osman acar ins gida enerji san Ve Tic Ltd sti
792,2013_mersin_mut,mersin_mut,mersin,mut,17400000,9159969,,altyapi_sosyal,2013,7,%98,mersin mut 75 yatakli devlet hastanesi insaati isi (ikmâl insaati),kazova ins san Tic Ve Tur as
546,2013_mugla_kavaklidere,mugla_kavaklidere,mugla,kavaklidere,18390000,9681139.65,254,idare_konut,2013,,%98,mugla ili kavaklidere ilcesi 2etap 160 adet konut. 1'er adet cami ve Ticaret merkezi. cayboyu beldesi 94 adet konut  ile altyapi ve cevre duzenlemesi insaati isi,emt ins Turz san Ve Tic as
815,2013_mugla_ortaca,mugla_ortaca,mugla,ortaca,21648000,11396264.88,,altyapi_sosyal,2013,10,%98,mugla ili ortaca ilcesi 100 yatakli devlet hastanesi ile altyapi Ve cevre duzenlemesi insaati isi,Fitas elektrik muhinssanTic as &amp; harun oguz mut ins malzToptan satisi insmuh is ortakligi
15,2013_nevsehir_merkez,nevsehir_merkez,nevsehir,merkez,8338000,4389415.03,,kamu_hizmet,2013,3,%100,nevsehir Turkiye istatistik kurumu (Tuik) bolge mudurlugu hizmet binasi ile altyapi ve cevre duzenlemesi insaati isi,yapi su ins Ve Tic Ltd sti &amp; Fors yapi ins Taah mad nak Tic Ve san Ltd sti is ortakligi
472,2013_nevsehir_merkez,nevsehir_merkez,nevsehir,merkez,9850000,5185384.75,,altyapi_sosyal,2013,5,%100,nevsehir ili derinkuyu ve avanos ilcelerinde 1'er adet 10 yatakli devlet hastanesi ile altyapi ve cevre duzenlemesi insaati isi,can ins san Ve Tic as
396,2013_nevsehir_urgup,nevsehir_urgup,nevsehir,urgup,53295000,28056353.33,518,idare_konut,2013,,%100,nevsehir ili urgup ilcesi 1etap 518 adet konut. 1’er adet cami ve Ticaret merkezi insaaari ile altyapi ve cevre duzenlemesi isi,akay ins Ltd sti
782,2013_nevsehir_urgup,nevsehir_urgup,nevsehir,urgup,1797000,946003.695,,altyapi_sosyal,2013,3,%98,nevsehir ili urgup ilcesi duayeri mah 1 adet 8 derslikli kiz meslek Lisesi ek bina insaati ile altyapi ve cevre duzenlemesi isi,husrevoglu ins Tur san Ve Tic Ltd sti
365,2013_nigde_altunhisar,nigde_altunhisar,nigde,altunhisar,7447000,3920361.445,155,konut_sosyal_donati,2013,8,%97,nigde ili altunhisar ilcesi 155 adet konut. 1 adet sosyal Tesis  ile altyapi ve cevre duzenlemesi insaati isi,kemal ins Tur gida  oto akaryakit Tic Ve san Ltd sti
391,2013_nigde_altunhisar,nigde_altunhisar,nigde,altunhisar,7430000,3911412.05,140,idare_konut,2013,7,%100,nigde ili altunhisar ilcesi 3etap 140 adet konut insaati ile altyapi ve cevre duzenlemesi isi,Tuna muh man mad san Ve Tic Ltd sti
388,2013_nigde_camardi,nigde_camardi,nigde,camardi,7430000,3911412.05,108,idare_konut,2013,6,%100,nigde ili camardi ilcesi 2 etap 108 adet konut ile altyapi ve cevre duzenlemesi insaati isi,Tuna muh man mad san Ve Tic Ltd sti
514,2013_ordu_Fatsa,ordu_Fatsa,ordu,Fatsa,62895000,33110129.33,,altyapi_sosyal,2013,10,%100,ordu ili Fatsa ilcesi 300 yatakli devlet hastanesi insaati isi,pekintas yapi sanve Tic Ltd sti &amp; pekerler ins ener Tas Turz san Ve Tic Ltd sti is ort
382,2013_ordu_golkoy,ordu_golkoy,ordu,golkoy,11638000,6126650.53,177,idare_konut,2013,5,%100,ordu ili golkoy ilcesi 177 adet konut ile altyapi ve cevre duzenlemesi insaati isi,adahan ins Ve Tic as
478,2013_ordu_merkez,ordu_merkez,ordu,merkez,2890000,1521397.15,,altyapi_sosyal,2013,5,%100,ordu merkez memursen 1'er adet 32 derslikli ilkogretim okulu ve 24 derslikli Lise insaati ile altyapi ve cevre duzenlemesi  (ikmâl insaati),kinaylar grup  ins san Ve Tic Ltd sti
807,2013_ordu_merkez,ordu_merkez,ordu,merkez,4500000,2368957.5,,altyapi_sosyal,2013,,%84,ordu ili merkez ilcesi yenimahalle 1 adet 24 derslikli saglik meslek Lisesi insaati ile altyapi ve cevre duzenlemesi isi,karaahmetoglu ins Taah san Tur Ve Tic Ltd sti
368,2013_ordu_mesudiye,ordu_mesudiye,ordu,mesudiye,16898000,8895698.63,204,konut_sosyal_donati,2013,10,%98,ordu ili mesudiye ilcesi 204 konut. 1’er adet Ticaret merkezi Ve cami insaati ile altyapi ve cevre duzenlemesi isi,asfel elektrik ins Taah Tic paz Ltd sti
398,2013_ordu_persembe,ordu_persembe,ordu,persembe,28045000,14763869.58,383,idare_konut,2013,10,%100,ordu ili persembe ilcesi cinar mahallesi 206 adet konut. kacali mahallesi 177 adet konut .1’er adet camii ve bufe insaaari ile altyapi ve cevre duzenlemesi isi,mustafa eksi ins Tur san Tic Ltd sti
491,2013_ordu_unye,ordu_unye,ordu,unye,1852000,974957.62,,altyapi_sosyal,2013,7,%100,ordu ili unye ilcesi denizbukunalci koyu 4 adet 40 kapasiteli sevgi evleri insaati ile altyapi ve cevre duzenlemesi isi,nace muh ins san Ve Tic Ltd sti
473,2013_osmaniye_kadirli,osmaniye_kadirli,osmaniye,kadirli,5128000,2699558.68,,altyapi_sosyal,2013,5,%100,osmaniye ili kadirli ilcesi cemalpasa mahallesi 1 adet 32 derslikli ilkogretim okulu insaati ile altyapi ve cevre duzenlemesi isi,osman acaR ins gida ener san ve Tic Ltd sti
788,2013_osmaniye_kadirli,osmaniye_kadirli,osmaniye,kadirli,6859000,3610817.665,,altyapi_sosyal,2013,6,%99,osmaniye ili kadirli ilcesi cemalpasa mahallesi 1'er adet 16 derslikli saglik meslek Lisesi ve 300 kisilik pansiyon insaaari ile altyapi ve cevre duzenlemesi isi,gaziantep gold yapi ins Taah san Ve Tic Ltd sti
827,2013_osmaniye_kadirli,osmaniye_kadirli,osmaniye,kadirli,15740000,8286086.9,,altyapi_sosyal,2013,12,%98,osmaniye ili kadirli ilcesi cemalpasa mah 1'er adet 24 derslikli Ticaret meslek Lisesi. duzici ilcesi haruniye mah 24 derslikli imam hatip Lisesi. 24 derslikli Ticaret meslek Lisesi. 300 ogrencilik pansiyon ve spor salonu insaaari ile altyapi ve cevre duzenlemesi isi,sagir ins gida Teks Turz san Ve Tic Ltd sti
81,2013_osmaniye_merkez,osmaniye_merkez,osmaniye,merkez,19230000,10123345.05,256,kentsel_donusum,2013,4,%100,osmaniye ili merkez ilcesi yesilyurt mahallesi 2 etap 256 adet konut insaati ile altyapi ve cevre duzenlemesi isi,ozcan celik ins san Ve Tic Ltd sti
261,2013_Rize_guneysu,Rize_guneysu,Rize,guneysu,1495000,787020.325,39,konut_sosyal_donati,2013,1,%100,Rize ili guneysu ilcesinde yapilacak 39 konut. 35 isyeri. 1'er adet kafeterya Ve anaokulu ile altyapi Ve cevre duzenlemesi insaati isi (ikmâl insaati),harun ogUZ mut ins mal Toptan satisi ins muh
481,2013_Rize_merkez,Rize_merkez,Rize,merkez,11300000,5948715.5,,altyapi_sosyal,2013,6,%100,Rize egitim Ve arastirma hastanesine ait kai otopark insaati isi,intek yapi ins mim muh san Tic Ltd sti &amp; bitas muh mimarlik ins san Ve Tic Ltd sti is o
6,2013_sakarya_adapazari,sakarya_adapazari,sakarya,adapazari,106054053,55830565.39,,stadyum,2013,4,%100,sakarya 25000 seyirci kapasiteli stadyum insaati isi,ahes ins Tic Ve san as
361,2013_sakarya_adapazari,sakarya_adapazari,sakarya,adapazari,1650000,868617.75,800,konut_sosyal_donati,2013,1,%92,sakarya adapazari korucuk 3 etap 800 konut (ikmâl insaati),mustafa eksi ins Tur san Ve Tic Ltd sti
74,2013_sakarya_Tarakli,sakarya_Tarakli,sakarya,Tarakli,1847900,972799.2365,48,alt_gelir,2013,1,%100,sakarya Tarakli 48 adet konut insaati ile altyapi ve cevre duzenlemesi isi (ikmal insaati),mustafa eksi ins Tur san Ve Tic Ltd sti
513,2013_samsun_havza,samsun_havza,samsun,havza,22828000,12017458.18,,altyapi_sosyal,2013,10,%100,samsun ili havza ilcesi 75 yatakli devlet hastanesi insaati ile altyapi Ve cevre duzenlemesi isi,acarkent ins Tic Ltd sti &amp; ali acar ins san Ve Tic Ltd sti is ortakligi
804,2013_sanliurfa_halfeti,sanliurfa_halfeti,sanliurfa,halfeti,8432000,4438899.92,,altyapi_sosyal,2013,8,%99,sanliurfa ili halfeti ilcesi 30 yatakli devlet hastanesi ile altyapi ve cevre duzenlemesi insaati isi,sanyol gida Tur ins TicLtd sti &amp; Uryapi ins haf nak Ve pet san Tic Ltd sti is ortakligi
374,2013_sanliurfa_hilvan,sanliurfa_hilvan,sanliurfa,hilvan,13884000,7309023.54,195,idare_konut,2013,4,%100,sanliurfa ili hilvan ilcesi 195 adet konut . 1’er adet cami ve Ticaret merkezi insaati ile altyapi Ve cevre duzenlemesi isi,yavuz kardesler nak ins san Ve Tic Ltd sti &amp; celaleddin kaLendeR is ortakligi
363,2013_sanliurfa_merkez,sanliurfa_merkez,sanliurfa,merkez,67438000,35501723.53,907,konut_sosyal_donati,2013,5,%98,sanliurfa ili merkez ilcesi masuk bolgesi 907 adet konut. 1’ er adet 40 derslikli ilkogretim okulu. 40 derslikli Lise. cami. 4 adet bufe ile altyapi Ve cevre duzenlemesi insaati isi,aksel can ins Tic Ltd sti
383,2013_sanliurfa_merkez,sanliurfa_merkez,sanliurfa,merkez,34883000,18363632.11,450,idare_konut,2013,5,%100,sanliurfa ili merkez ilcesi  masuk koyu 450 adet konut insaati ile altyapi Ve cevre duzenlemesi isi,merkez yapi ins as &amp; biser ins Tic Ve san Ltd sti is ortakligi
399,2013_sanliurfa_merkez,sanliurfa_merkez,sanliurfa,merkez,40950000,21557513.25,561,idare_konut,2013,11,%100,sanliurfa ili merkez ilcesi masuk bolgesi 2 etap 561 konut ve 1 adet bufe insaati ile altyapi ve cevre duzenlemesi isi,begum yapi Turz Tarim ve hayv Tic ve san Ltd sti
400,2013_sanliurfa_merkez,sanliurfa_merkez,sanliurfa,merkez,88783000,46738478.61,1017,idare_konut,2013,11,%100,sanliurfa ili merkez ilcesi masuk bolgesi 3 etap 1017 konut. 1 adet cami ve 2 adet bufe insaaari ile altyapi ve cevre duzenlemesi isi,ilgin ins ic ve dis Tic as
448,2013_sanliurfa_merkez,sanliurfa_merkez,sanliurfa,merkez,24621000,12961356.14,,altyapi_sosyal,2013,1,%100,sanliurfa merkez karakopru mah 1'er adet 40 derslikli imam hatip Lisesi. 40 derslikli ilkogretim okulu ve 300 kisilik pansiyon. siverek ilcesi hamidiye mah 1'er adet 40 derslikli anadolu Lisesi ve 300 kisilik pansiyon. merkez ilcesi sirrin mah 40 derslikli anadolu Lisesi ve spor salonu insaaari ile altyapi ve cevre duzenlemesi isi,izbay ins nakliye akaryakit urun san Ve TicLtdsti &amp; binbay ins san Ve Tic Ltd sti is ort
482,2013_sanliurfa_merkez,sanliurfa_merkez,sanliurfa,merkez,130350000,68620802.25,,altyapi_sosyal,2013,6,%100,sanliurfa eyyubiye 400 yatakli devlet hastanesi insaati isi,ai inssTas &amp; husamettin pekeR insTaahsTLtdsti &amp; silahtaroglu yol yapi as is ortakligi
543,2013_sanliurfa_merkez,sanliurfa_merkez,sanliurfa,merkez,17200000,9054682,229,idare_konut,2013,5,%97,sanliurfa ili merkez ilcesi karakopru beldesi 229 adet konut ile altyapi ve cevre duzenlemesi insaati isi,elektromed elektronik cihazlari dag nak ins san Tic Ltd sti
823,2013_sanliurfa_merkez,sanliurfa_merkez,sanliurfa,merkez,10100000,5316993.5,,altyapi_sosyal,2013,11,%97,sanliurfa ili eyyubiye ilcesi 50 unitelik adsm (agiz ve dis sagligi merkezi) ile altyapi ve cevre duzenlemesi insaati isi,erme ins san Ve Tic Ltd sti
93,2013_sanliurfa_siverek,sanliurfa_siverek,sanliurfa,siverek,1613000,849139.655,20,afet_konutu,2013,12,%100,sanliurfa ili siverek ilcesi 20 adet afet konutu ile altyapi ve cevre duzenlemesi insaati isi,mert gundogdu ins Tem hur Tas ith ihr Tic Ve san Ltd sti
822,2013_sinop_ayancik,sinop_ayancik,sinop,ayancik,14765000,7772812.775,,altyapi_sosyal,2013,11,%98,sinop ili ayancik ilcesi 50 yatakli yeni devlet hastanesi insaati ile altyapi Ve cevre duzenlemesi isi,Remzi TekdaL ins san Ve Tic Ltd sti
460,2013_sirnak_merkez,sirnak_merkez,sirnak,merkez,103750000,54617631.25,,altyapi_sosyal,2013,3,%100,sirnak universitesi kampus alani egitim Ve hizmet binalari ile altyapi Ve cevre duzenlemesi insaati isi,oz aras grup ins as &amp; girisimciler ins Ltd sti &amp; piramid mesken ins as is ortakligi
267,2013_sivas_gemerek,sivas_gemerek,sivas,gemerek,9440000,4969546.4,110,konut_sosyal_donati,2013,7,%100,sivas ili gemerek ilcesi 110 adet konut. 1’er adet camii ve bufe insaaari ile altyapi ve cevre duzenlemesi isi,kahraman ins Ve Tic Ltd sti
372,2013_sivas_merkez,sivas_merkez,sivas,merkez,50748000,26715523.38,900,idare_konut,2013,3,%100,sivas merkez 900 adet konut insaati ile altyapi Ve cevre duzenlemesi isi,komyapi hazirbeton pref ins Taah san Ticas
523,2013_Tekirdag_malkara,Tekirdag_malkara,Tekirdag,malkara,17160000,9033624.6,,altyapi_sosyal,2013,11,%100,Tekirdag ili malkara ilcesi 70 yatakli devlet hastanesi insaati ile altyapi Ve cevre duzenlemesi isi,Teknik yapi Taah ins san Ve Tic Ltd sti
805,2013_Tokat_Resadiye,Tokat_Resadiye,Tokat,Resadiye,16800000,8844108,,altyapi_sosyal,2013,,%97,Tokat ili Resadiye ilcesi 50 yatakli yeni devlet hastanesi ile altyapi ve cevre duzenlemesi insaati isi (ikmâl insaati),erme ins san Ve Tic Ltd sti
802,2013_Trabzon_akcaabat,Trabzon_akcaabat,Trabzon,akcaabat,0,0,,altyapi_sosyal,2013,8,,Trabzon ili akcaabat ilcesi yildizli belediyesinin baglanti yolu insaati isi,
262,2013_Trabzon_besikduzu,Trabzon_besikduzu,Trabzon,besikduzu,20900000,11002491.5,360,konut_sosyal_donati,2013,2,%100,Trabzon ili besikduzu ilcesi 360 adet konut.1 adet Ticaret merkezi insaati ile altyapi ve cevre duzenlemesi isi,Livanel Tur ins san Ve Tic Ltd sti
7,2013_Trabzon_merkez,Trabzon_merkez,Trabzon,merkez,193061000,101634067.5,,stadyum,2013,5,%100,Trabzon akyazi 40000 seyirci kapasiteli stadyum Ve spor Tesisleri insaati isi,saridaglar ins as &amp; sTy ins Tur Tic Ltd sti &amp; yertas ins Tur san Tic Ltd is oRTakLigi
461,2013_Trabzon_merkez,Trabzon_merkez,Trabzon,merkez,5690000,2995415.15,,altyapi_sosyal,2013,3,%100,Trabzon ayasofya muzesinin cevresine ait mustemilaarin yapilmasi ile altyapi Ve cevre duzenleme insaati isi,maksem yapi Tic as
378,2013_Trabzon_surmene,Trabzon_surmene,Trabzon,surmene,7389000,3889828.215,127,idare_konut,2013,5,%100,Trabzon ili surmene ilcesi 2 etap 127 adet konut insaati ile altyapi ve cevre duzenlemesi isi,denge yol yapi ins Taah mad nak Ve Tic Ltd sti &amp; ozdogan ins Taah madTicLtd is oRTakLigi
793,2013_Trabzon_yomra,Trabzon_yomra,Trabzon,yomra,3642000,1917276.27,,altyapi_sosyal,2013,7,%98,Trabzon ili yomra ilcesi ozdil mevkii 1 adet 16 derslikli ilkogretim okulu insaati ile altyapi ve cevre duzenlemesi isi,denge yol yapi ins Taah Tur mad Tic Ltd sti &amp; ozdogan ins Taah mad Tic Ltd is oRTakLigi
495,2013_Tunceli_hozat,Tunceli_hozat,Tunceli,hozat,4150000,2184705.25,,altyapi_sosyal,2013,7,%100,Tunceli hozat ilcesi 15 yatakli devlet hastanesi insaati (ikmâl ihalesi),burkaylar grup ins muh proje Taah Ve san Ltd sti
542,2013_Tunceli_mazgirt,Tunceli_mazgirt,Tunceli,mazgirt,4757000,2504251.295,85,idare_konut,2013,4,%98,Tunceli ili mazgirt ilcesi 85 adet konut ve 1 adet bufe insaati ile altyapi ve cevre duzenlemesi isi,polat kuyumculuk ins gida ith ihr paz san Tic Ltd sti
19,2013_Tunceli_merkez,Tunceli_merkez,Tunceli,merkez,9500000,5001132.5,,kamu_hizmet,2013,10,%100,Tunceli ili merkez kabul ve Toplama merkezi (kTm) ve misafirhane hizmet binalari,akdemir ins ith ihr mad Tic Ve san Ltdsti&amp; alpan insaat Turizm san Ve Tic Ltdsti is orta
379,2013_Usak_esme,Usak_esme,Usak,esme,11800000,6211933,188,idare_konut,2013,5,%100,Usak ili esme ilcesi 188 adet konut. 1’er adet Ticaret merkezi ve cami insaaari ile altyapi ve cevre duzenlemesi isi,esta ins san Ve Tic Ltd sti
544,2013_Usak_karahalli,Usak_karahalli,Usak,karahalli,7983000,4202530.605,106,idare_konut,2013,5,%99,Usak ili karahalli ilcesi 106 adet konut . 1 adet bufe insaaari ile altyapi Ve cevre duzenlemesi isi,evyap ins san Ve Tic Ltd sti
468,2013_Van_edremit,Van_edremit,Van,edremit,16500000,8686177.5,,altyapi_sosyal,2013,4,%100,Van edremit afet bolgesindeki 100000 kisilik aritma tesisinin mekanik. otomasyon kismi. afet bolgesindeki yollarin asinma tabakasi ile  ilave yol baglantilarinin yapilmasi isi,gokcenay ins Tic Ve san Ltd sti
506,2013_Van_ercis,Van_ercis,Van,ercis,19600000,10318126,,altyapi_sosyal,2013,,%100,Van ili ercis ilcesi belediye hizmet binasi ve 2500 kisilik camii,Fors yapi insaat Taah madencilik nak Tic Ve san Ltd sti
806,2013_Van_ercis,Van_ercis,Van,ercis,28498000,15002344.63,,altyapi_sosyal,2013,,%98,Van ercis 112 yatakli hastane (ikmâl insaati) . ek 100 yatakli hastane insaati,a6 ins Turz Tic Ltd sti&amp; detvar ins elek muh Taah san ve Tic Ltdsti is ortakligi
21,2013_Van_merkez,Van_merkez,Van,merkez,7447000,3920361.445,,kamu_hizmet,2013,10,%100,Van il milli egitim mudurlugu hizmet binasi (meb)  insaati ile altyapi Ve cevre duzenlemesi isi,guzeller muhTasinsTar hay sanTic Ltdsti &amp; mhs hafmakinsTursanTicLtd sti is oRTakLigi
367,2013_Van_merkez,Van_merkez,Van,merkez,76450000,40245955.75,852,konut_sosyal_donati,2013,8,%99,Van ili merkez ilcesi serefiye mahallesi 852 adet konut ve 1 adet Ticaret merkezi insaati ile altyapi ve cevre duzenlemesi isi,hsy yapi ins san Ve Tic Ltd sti &amp; kaldirimoglu ins Taah Tic imal Ltd sti is ortakligi
787,2013_Van_merkez,Van_merkez,Van,merkez,4755000,2503198.425,,altyapi_sosyal,2013,5,%91,Van ili merkez ilcesi Ziraat meslek okulu mevkii 1 adet 32 derslikli anadolu Lisesi insaati ile altyapi ve cevre duzenlemesi isi,sanyol gida Tur ins ilet Tem san Ltd sti
488,2013_Van_ozalp,Van_ozalp,Van,ozalp,11050000,5817106.75,,altyapi_sosyal,2013,7,%100,Van ozalp  50 yatakli  hastane ile altyapi ve cevre duzenlemesi insaati isi (ikmâl insaati),emel insaat Taahhut pazarlama san Tic Ltd sti
385,2013_yozgat_akdagmadeni,yozgat_akdagmadeni,yozgat,akdagmadeni,26200000,13792597,424,idare_konut,2013,5,%100,yozgat  ili akdagmadeni ilcesi  3 etap 424 adet konut insaati ile altyapi Ve cevre duzenlemesi isi,esta ins san Tic Ltd sti &amp; maksem yapi Tic as is ortakligi
814,2013_yozgat_akdagmadeni,yozgat_akdagmadeni,yozgat,akdagmadeni,8000000,4211480,,altyapi_sosyal,2013,10,%98,yozgat akdagmadeni 50 yatakli hastane insaati ile altyapi ve cevre duzenlemesi isi (ikmâl insaati),Vit_Varol insTicLtdsti
798,2013_yozgat_cekerek,yozgat_cekerek,yozgat,cekerek,7975000,4198319.125,,altyapi_sosyal,2013,8,%97,yozgat ili cekerek ilcesi 30 yatakli devlet hastanesi ile altyapi ve cevre duzenlemesi insaati isi,erme ins san Ve Tic Ltd sti
453,2013_yozgat_merkez,yozgat_merkez,yozgat,merkez,48340000,25447867.9,,altyapi_sosyal,2013,1,%100,yozgat bozok universitesi muhendislik _mimarlik Fakultesi ve Rektorluk hizmet binasi insaaari ile altyapi ve cevre duzenlemesi isi,egemen ins Ve Tic as
500,2013_yozgat_sorgun,yozgat_sorgun,yozgat,sorgun,54980000,28943396.3,,altyapi_sosyal,2013,8,%100,yozgat ili sorgun ilcesi 250 yatakli devlet hastanesi insaati ile altyapi ve cevre duzenlemesi isi,siyah kalem muh ins san ve Tic Ltd sti
375,2013_yozgat_yenifakili,yozgat_yenifakili,yozgat,yenifakili,10285000,5414383.975,161,idare_konut,2013,4,%100,yozgat ili yenifakili ilcesi 2 etap 161 adet konut. 1 adet Ticaret merkezi. bogazlayan ilcesi cami Tamamlama ile altyapi ve cevre duzenlemesi insaati isi,kota muh nak yapi elektrik san Ve Tic Ltd sti
779,2013_Zonguldak_merkez,Zonguldak_merkez,Zonguldak,merkez,25000000,13160875,,altyapi_sosyal,2013,2,%95,Zonguldak ili  bulent ecevit universitesi merkez kampusu derslik ve ofis bloklari. kapali yuzme havuzu ve sosyal Tesisleri ve  kanser arastirma merkezi binalari ile altyapi ve cevre duzenlemesi insaati isleri,Turyapi ins Taah Tic san as
541,2014_adana_cukurova,adana_cukurova,adana,cukurova,59750000,27346200.75,,altyapi_sosyal,2014,1,%100,adana ili cukurova ilcesi 200 yatakli devlet hastanesi insaati ile altyapi ve cevre duzenlemesi isi,can ins san ve Tic as
556,2014_adana_saimbeyli,adana_saimbeyli,adana,saimbeyli,5387950,2465940.792,,altyapi_sosyal,2014,4,%100,adana ili saimbeyli ilcesi 10 yatakli devlet hastanesi ile altyapi ve cevre duzenlemesi insaati isi,ali ceLik mut
27,2014_adana_yuregir,adana_yuregir,adana,yuregir,5081676,2325766.227,,kamu_hizmet,2014,7,%100,adana ili yuregir ilcesi sosyal guvenlik kurumu (sgk) merkez mudurlugu hizmet binasi insaati ile altyapi Ve cevre duzenlemesi isi,dem_ba ins Taah Tur Reklam gida ith ihr san  Tic Ve san Ltd sti
848,2014_agri_merkez,agri_merkez,agri,merkez,4944000,2262755.088,,altyapi_sosyal,2014,3,%97,agri ili merkez ilcesi sucatagi koyu 1 adet 24 derslikli saglik meslek Lisesi insaati ile altyapi ve cevre duzenlemesi isi,yeni sah ins Tur Tem Ve hay ith ihr san Tic Ltd sti &amp; dozaj muhins Tur Tas san Ve Tic Ltd sti is ortakligi
864,2014_agri_merkez,agri_merkez,agri,merkez,3597000,1646264.169,,altyapi_sosyal,2014,6,%96,agri ili merkez Firat mahallesi 25 dukkanli Ticaret merkezi insaati ile altyapi Ve cevre duzenlemesi isi,hasem ins san Ve Tic Ltd sti
563,2014_agri_patnos,agri_patnos,agri,patnos,10950000,5011563.15,,altyapi_sosyal,2014,5,%100,agri ili patnos ilcesi 400 kisilik (442 kisi kapasiteli) yurt binasi insaati ile altyapi ve cevre duzenlemesi isi,Tuna muh man mad ins Ltd sti
414,2014_aksaray_eskil,aksaray_eskil,aksaray,eskil,10775000,4931469.675,125,idare_konut,2014,4,%100,aksaray ili eskil ilcesi 125 adet konut ile altyapi ve cevre duzenlemesi insaati isi,adahan ins Ve Tic as
418,2014_aksaray_merkez,aksaray_merkez,aksaray,merkez,13287000,6081154.299,163,idare_konut,2014,8,%100,aksaray ili merkez ilcesi Taspinar beldesi 163 adet konut. 1 adet Ticaret merkezi insaati ile altyapi Ve cevre duzenlemesi isi,Tuna muh man mad ins Ltd sti
92,2014_ankara_altindag,ankara_altindag,ankara,altindag,16277000,7449608.529,250,kentsel_donusum,2014,3,%100,ankara kuzey kent girisi karacaoren mevkii 250 adet konut insaati ile altyapi ve cevre duzenlemesi isi,serhat ozbek ins Taah mimarlik Tic Ltd sti
139,2014_ankara_altindag,ankara_altindag,ankara,altindag,94950000,43456431.15,630,kentsel_donusum,2014,10,%99,ankara kuzey  kent girisi 630  adet konut. 1'er adet unite merkezi ve kres  ile altyapi ve cevre duzenlemesi insaati ikmal isi,can  ins san Ve Tic as
140,2014_ankara_altindag,ankara_altindag,ankara,altindag,96640000,44229905.28,628,kentsel_donusum,2014,10,%96,ankara kuzey  kent girisi 628 adet konut. 1'er adet unite merkezi ve Ticaret merkezi ile altyapi ve cevre duzenlemesi insaati (ikmal insaati),akay ins as
373,2014_ankara_altindag,ankara_altindag,ankara,altindag,55244000,25283908.19,277,konut_sosyal_donati,2014,12,%98,ankara kuzey kent girisi 2 bolge 2 etap 277 adet konut insaati ile altyapi Ve cevre duzenlemesi isi,oz oguz ins Tur san Ve Tic Ltd sti &amp; harun oguz mut ins malz Toptan satis ins muh is ortakligi
417,2014_ankara_ayas,ankara_ayas,ankara,ayas,12369000,5661006.813,153,idare_konut,2014,8,%100,ankara ili ayas ilcesi hacirecep mahallesi 153 adet konut. 1’er adet camii ve bufe insaaari ile altyapi ve cevre duzenlemesi isi,sahin yapi enerji _ erol sahin
25,2014_ankara_cankaya,ankara_cankaya,ankara,cankaya,595000000,272317815,,kamu_hizmet,2014,3,%100,basbakanlik hizmet binasi yerleskesi yapimi,Rec Uluslararasi ins yatirim san Ve Tic as
545,2014_ankara_elmadag,ankara_elmadag,ankara,elmadag,21525000,9851497.425,,altyapi_sosyal,2014,2,%100,ankara ili elmadag ilcesi 75 yatakli yeni devlet hastanesi ile altyapi Ve cevre duzenlemesi isi,akgun ins Taah Tic Ve san Ltd sti
