year,month,province,district,project_name,firm,category,order,completion,liras,houses
2014,4,gaziantep,sehitkamil,gaziantep ili sehitkamil ilcesi 2. etap 586 adet konut insaati ile altyapi ve cevre duzenlemesi isi,dog-tas grup ins. san.tic. ltd. sti. &amp; gaziantep gold yapi ins. taah. san.tic. ltd.sti. is ortakligi,idare_konut,422,100,36989000,586
2016,3,gaziantep,sehitkamil,"gaziantep ili sehitkamil ilcesi 573/1 parselde, 466 adet konut (+4 kd) insaati ile altyapi ve cevre duzenlemesi isi",aksay ins. san. ve tic. ltd. sti.,idare_konut,447,100,41290000,466
2016,5,gaziantep,sehitkamil,"gaziantep ili, sehitkamil ilcesi 2. etap 749 konut , 17 adet dukkan (konut alti dukkan), 2 adet cami insaatlari ile altyapi ve cevre duzenlemesi isi
",can ins. san. ve tic. a.s.,idare_konut,452,100,112258000,749
2016,10,gaziantep,sehitkamil,"gaziantep ili, sehitkamil ilcesi, beylerbeyi mahallesi, 571 ada 1 parsel'de 492 adet konut+4(k.d) ve 583 ada 1 parsel'de 315 adet konut+3 k.d.[toplam 807 adet konut+7 (k.d.)] insaatlar ile altyapi ve cevre duzenlemessi isi",aksay ins. san. ve tic. ltd. sti.,idare_konut,459,100,69490000,807
2016,9,gaziantep,sehitkamil,"gaziantep ili ,sehitkamil ilcesi 3. etap 694 konut, 3 adet ticaret merkezi ve 1 adet mescid insaati  ile altyapi vecevre duzenlemesi isi",girisimciler ins. san. ve tic. a.s. &amp; gunestekin ins.turz ve otm. tic. ltd. sti. is ortakligi,idare_konut,593,95,105190000,694
2016,11,gaziantep,sahinbey,"gaziantep ili sahinbey ilcesi, mavikent mahallesi 643 adet konut, 1 adet 4 dukkanli taziye evi ve 1 adet cami insaatlari ile altyapi ve cevre duzenlemesi isi",arslanlar ins. teks. gida san. ve tic. ltd. sti. &amp; gaziantep gold yapi ins. taah. san. ve tic. ltd. sti. is ortakligi,idare_konut,596,96,55198000,643
2016,12,gaziantep,sehitkamil,"gaziantep ili, sehitkamil ilcesi 4 etap 439 konut, 1 adet 4 dukkanli ticaret merkezi ve 1 adet mescit insaatlari ile altyapi ve cevre duzenlemesi isi",gunestekin ins.turz ve otm. tic. ltd. sti.,idare_konut,599,95,73195000,439
2021,1,gaziantep,islahiye,gaziantep ili islahiye ilcesi degirmencik mahallesi 4. etap 430 konut  insaati ile altyapi ve cevre duzenlemesi isi (e- ihale),,idare_konut,715,,,430
2015,6,gaziantep,islahiye,gaziantep ili islahiye ilce emniyet mudurlugu hizmet binasi insaati ile altyapi ve cevre duzenlenmesi isi,n.dogus ins. san. ve tic. ltd. sti.,kamu_hizmet,44,100,5790000,
2005,1,gaziantep,sehitkamil,gaziantep merkez beylerbeyi 1. bolge (gecekondu donusum),biat ins.san.ve tic.a.s. &amp; ispa ins.san.ve paz.a.s. is ortakligi,kentsel_donusum,9,100,10215450,320
2005,3,gaziantep,sehitkamil,gaziantep merkez beylerbeyi 2. bolge (gecekondu donusum),durmaz ins.taah.tic.ltd.sti,kentsel_donusum,13,100,28335000,824
2008,7,gaziantep,sehitkamil,"gaziantep merkez beylerbeyi ilkogretim 32, cami, ticaret merkezi",abdurrahman sirin ins. san. tic. ltd. sti.,kentsel_donusum,45,100,4699000,
2013,7,gaziantep,sehitkamil,gaziantep ili sehitkamil ilcesi umut mahallesi 388 adet konut insaati ile altyapi ve cevre duzenlemesi isi,dibay ins.tur.muh.nak. san. tic. ltd. sti. &amp; ceysa ins. gida petrol nak. tic. ltd. sti. is ortakligi,kentsel_donusum,84,100,29435000,388
2013,7,gaziantep,sehitkamil,gaziantep ili sehitkamil ilcesi umut mahallesi 578 adet konut insaati ile altyapi ve cevre duzenlemesi isi,sec yapi ins. enerji. tur. ve tic. ltd. sti.,kentsel_donusum,85,100,42292000,578
2013,7,gaziantep,sehitkamil,gaziantep ili sehitkamil ilcesi umut mahallesi 717 adet konut insaati ile altyapi ve cevre duzenlemesi isi,baltas ins. san. ve tic. ltd. sti.,kentsel_donusum,86,100,45900000,717
2014,4,gaziantep,sahinbey,gaziantep ili sahinbey ilcesi guzelvadi mahallesi 247 adet konut insaati ile altyapi ve cevre duzenlemesi isleri,kader savas gulsen - azd muh. ins. ve taah. &amp; saran tur. ins. tas. san. ve tic. a.s. is ortakligi,kentsel_donusum,95,100,15470000,247
2005,11,gaziantep,sehitkamil,gaziantep merkez beylerbeyi caybasi,kalyon imar end. turz. ve tic. ltd. sti,kentsel_donusum,124,80,8598000,214
2007,4,gaziantep,sahinbey,"gaziantep - sahinbey (kentsel yenileme)+( 2 cami, ticaret merkezi, kutuphane, saglik ocagi)",hasan sever ins. mut. taah. tic. ltd. sti.,kentsel_donusum,129,99,65227000,1260
2014,4,gaziantep,sahinbey,gaziantep ili sahinbey ilcesi kahvelipinar mahallesi 725 adet konut insaati ile altyapi ve cevre duzenlemesi isleri,baltas ins. san. ve tic. ltd. sti.,kentsel_donusum,147,99,57490000,725
2007,6,gaziantep,islahiye,"gaziantep islahiye konut + ilkogretim16, ticaret merkezi, cami",dogcan ins. taah. ismak. orj. yed. san. ve tic. ltd. sti - aksay ins. san. ve tic.,konut_sosyal_donati,85,100,27980000,472
2010,9,gaziantep,sehitkamil,"gaziantep ili sehitkamil ilcesi 636 konut, 1 adet 24 derslikli ilkogretim okulu, 1 adet sosyal tesis  insaatlari ile altyapi ve cevre duzenlemesi isi",baltas ins.san. ve tic.ltd.sti.,konut_sosyal_donati,216,100,23500000,636
2012,5,gaziantep,sehitkamil,"gaziantep ili sehitkamil ilcesi beylerbeyi 480 adet konut, 1'er adet cami ve ticaret merkezi insaatlari ile altyapi ve cevre duzenlemesi isleri",yeni fidan ins. nak. gida pet. dog. is mak. san. tic. ltd. sti. &amp; enver sedat sav is ort.,konut_sosyal_donati,246,100,22348000,480
2012,7,gaziantep,islahiye,"gaziantep ili, islahiye ilcesi, bahceli mahallesi 352 adet konut, 1' er adet sosyal tesis, ve bufe ve t16 camii  insaatlari ile altyapi ve cevre duzenlemesi isi",okcuoglu ins. san. ve tic. a.s.,konut_sosyal_donati,252,100,13200000,352
2012,12,gaziantep,islahiye,"gaziantep ili islahiye ilcesi fevzipasa beldesi 163 adet konut, 1'er adet cami ve ticaret merkezi ile altyapi ve cevre duzenlemesi insaati isi",yildizlar ins. ihr. ith. tic. ve san. ltd. sti.,konut_sosyal_donati,259,100,10633000,163
2016,3,gaziantep,sehitkamil,gaziantep ili sehitkamil ilcesi 1.etap 913 konut (+7 k.d.) insaati ile altyapi ve cevre duzenlemesi isi,baltas ins. san. ve tic. ltd. sti.,konut_sosyal_donati,302,100,126400000,913
2014,4,gaziantep,sehitkamil,"gaziantep ili sehitkamil ilcesi 1 etap 568 adet konut, 1’er adet camii ve 32 derslikli lise insaatlari ile altyapi ve cevre duzenlemesi isi",sec yapi ins. enerji. tur. ve tic. ltd. sti.,konut_sosyal_donati,381,99,44332000,568
2015,12,gaziantep,sehitkamil,"gaziantep ili sehitkamil ilcesi beylerbeyi mahallesi 666 adet konut, 2 adet ticaret merkezi, 2 adet camii insaatlari ile altyapi ve cevre duzenlemesi isi",kayasan yapi ins. san. ve tic. ltd. sti.  &amp; gaziantep gold yapi ins. taah. san. ve tic. ltd. sti. is ortakligi,konut_sosyal_donati,387,98,102939000,666
2019,10,gaziantep,sehitkamil,"gaziantep ili sehitkamil ilcesi 6. etap 1. bolge 727 adet konut , 1 adet mescit ve 1 adet cami insaatlari ile altyapi ve cevre duzenlemesi isi"" ve",gucar ins. san. ve tic. a.s.,konut_sosyal_donati,416,25,176481000,727
2019,10,gaziantep,sehitkamil,gaziantep ili sehitkamil ilcesi 6. etap 2. bolge 776 adet konut  ve 1 adet mescit insaatlari ile altyapi ve cevre duzenlemesi isi,can insaat san. ve tic. a.s.,konut_sosyal_donati,417,67,186500000,776
2006,12,gaziantep,sahinbey,gaziantep sahinbey beyazhan kultur merkezi restarasyon,m. arslan ins. muh. mim. taah. san. ve tic. ltd. sti.,restorasyon,5,100,2439905,
2012,12,gaziantep,sehitkamil,gaziantep 33.000 seyirci kapasiteli stadyum insaati isi,may ins.taah. mus. ve muh. san. ve tic. ltd. sti. &amp; egemen ins. is ortakligi,stadyum,7,100,96360000,
2015,11,gaziantep,islahiye,gaziantep ili islahiye ilcesi fevzipasa 2.etap 198 adet konut insaati ile altyapi ve cevre duzenlemesi isi,cosan yapi mim. muh. ins. taah. san. ve tic. ltd. sti. &amp; b.s. mimarlik dekorasyon ve ins. san. tic. ltd. sti. is ortakligi,talep_organizasyon,15,100,18590000,198
2017,9,gaziantep,islahiye,"gaziantep ili, islahiye ilcesi, fevzipasa mahallesi 3. etap 596 adet konut, 1 adet 5 dukkânli ticaret merkezi, 1 adet camii, 1 adet 16 derslikli ilkogretim okulu insaatlari ile altyapi ve cevre duzenlemesi isi
",kahraman ins. ve tic. ltd. sti.,talep_organizasyon,116,97,86440000,596
2020,12,gaziantep,nurdagi,gaziantep ili nurdagi ilcesi bademli mahallesi 211 konut  ve 1 adet ticaret merkezi insaati ile altyapi ve cevre duzenlemesi isi,,talep_organizasyon,215,,,211
2019,10,gaziantep,sehitkamil,"gaziantep ili, sehitkamil ilcesi, kent merkezi millet bahceleri ve millet bahcelerine ait sosyal donatilar insaatlari ile altyapi ve cevre duzenlemesi isi",ali acar insaat san. ve tic. ltd. sti.,millet_bahcesi,18,30,72228000,
2020,2,gaziantep,sehitkamil,"gaziantep, sehitkamil, kuzeysehir 5.etap 646 adet konut insaati ile altyapi ve cevre duzenlemesi isi",adiguzeller ins. taah. san. tic. ltd. sti.,idare_konut,646,42,143280000,646
2005,10,giresun,sebinkarahisar,"giresun sebinkarahisar + sosyal donati (ilkogretim24, ticaret merkezi, cami-sadirvan) (48 konut alt gelir)",kobalt ins. - ali acar ins. ortak girisimi,alt_gelir,23,100,9982000,176
2007,3,giresun,merkez,giresun cocuk esirgeme yuvasi,bayram nadiroglu-nadiroglu ins.,altyapi_sosyal,93,100,1555242,
2008,11,giresun,gorele,"giresun gorele yesiltepe lisesi, 200 kisilk pansiyon, spor salonu -  giresun espiye lisesi - giresun merkez aksu mahallesi kiz meslek lisesi ve kiz meslek lisesi uygulama ana okulu",acar kardesler,altyapi_sosyal,157,100,11450000,
2009,8,giresun,sebinkarahisar,giresun sebinkarahisar 75 yatakli devlet hastanesi insaati isi,igc yapi yatirimlari a.s. &amp; agcs muh. ins. mad. nak. tic. ve san. ltd. sti. is ortakligi,altyapi_sosyal,210,100,10774214,
2012,11,giresun,merkez,giresun universitesi fen edebiyat fakultesi 1. kisim ve iktisadi idari bilimler fakultesi binalari ile fen fakultesi binasi insaati ile altyapi ve cevre duzenlemesi isi yapim isi,pekintas yapi san. ve tic. ltd. sti.,altyapi_sosyal,446,100,44895000,
2011,5,giresun,espiye,"giresun espiye 50 yatakli devlet hastanesi ve giresun 150 yatakli kadin dogum ve cocuk hastanesi, lojman, misafirhane ve depo insaatlari ile altyapi ve cevre duzenlemesi isi",aram ins. elekt. urt. mad. kuyum. ith. ihr. taah.san ve tic. ltd. sti.,altyapi_sosyal,715,95,36363000,
2011,7,giresun,merkez,giresun ili 75 yatakli fizik tedavi merkezi insaati ile altyapi ve cevre duzenlemesi isi,serkan ins. taah. tic. ve san. ltd. sti.,altyapi_sosyal,725,98,7980000,
2012,6,giresun,dereli,giresun ili dereli ilcesi  100 adet konut ile altyapi ve cevre duzenlemesi insaati isi,u-k acar gida temizlik ins. san.tic.ltd. sti. &amp; osman acar ins. gida enerji san.tic.ltd.sti  is ort.,altyapi_sosyal,778,97,5911000,100
2014,1,giresun,bulancak,"giresun ili bulancak ilcesi kovanlikda 1'er adet 3 hekimlik aile sagligi merkezi ve eczane ile agri ili patnos ilcesi ergecli, kazanbey ve ortadamla'da yapilacak 2 hekimlik aile sagligi merkezleri insaati ile altyapi ve cevre duzenlemesi isi (ikmal insaati)",ali acar ins. san. ve tic. ltd. sti.,altyapi_sosyal,846,98,1160000,
2016,1,giresun,merkez,"giresun 1.000 kisilik yurt, 1 adet sosyal tesis ve tasit koprusu ile altyapi ve cevre duzenlemesi insaati isi",sagir ins. gida teks. turz. san. ve tic. ltd. sti.,altyapi_sosyal,878,89,24440000,
2016,7,giresun,merkez,giresun ili merkez ilcesi 20.000 seyirci kapasiteli stadyum ve 1.000 seyirci kapasiteli olimpik yuzme havuzu insaati isi,siyah kalem muh. ins. san. ve tic. a.s.,altyapi_sosyal,880,99,152980000,
2011,7,giresun,merkez,giresun merkez aksu mahallesi 150 konut insaati ile adaici ve genel altyapi ve cevre duzenlemesi isi,adahan ins. ve tic. a.s.,idare_konut,328,100,6969000,150
2013,3,giresun,camoluk,giresun ili camoluk ilcesi 89 adet konut ile altyapi ve cevre duzenlemesi insaati isi,osman acar ins. gida enerji san. ve. tic. ltd. sti,idare_konut,374,100,6060000,89
2014,11,giresun,guce,giresun ili guce ilcesi 104 adet konut ve 1 adet bufe insaati ile altyapi ve cevre duzenlemesi isi,seler taah. yapi ins. san. ve tic. ltd. sti.,idare_konut,427,100,8379000,104
2015,4,giresun,merkez,"giresun ili merkez ilcesi aksu ve kucukkoy mahalleleri 1009 ada 14 parsel ve 1001 ada 146 parselde 592 konut, 2 adet ticaret merkezi ve 2 adet cami ile altyapi ve cevre duzenlemesi insaati isi",cakir ins. ith. ihr. san. ve tic. ltd. sti.,idare_konut,434,100,77750000,592
2012,12,giresun,alucra,"giresun ili alucra ilcesi 2.etap 95 adet konut,1 adet ticaret merkezi ile altyapi ve cevre duzenlemesi insaati isi",asfel elektrik ins. taah. tic. paz. ltd. sti.,idare_konut,557,97,6600000,95
2020,9,giresun,merkez,"giresun ili, merkez ilcesi aksu mahallesi 595 konut  insaati ile altyapi ve cevre duzenlemesi isi",osman acar insaat gida enerji san.ve ticltd.sti.&amp;u-k acar gida temizlik insaat sanayive tic.ltd.sti. is ortakligi,idare_konut,689,6,139228000,595
2006,9,giresun,merkez,"giresun merkez + sos. dnt., bekci kulubesi",ali acar ins.san. ve tic.ltd.sti.,konut_sosyal_donati,47,100,10621000,240
2007,5,giresun,alucra,"giresun  alucra (ilkogretim 16, ticaret merkezi, spor salonu, cami)",orucoglu aka ins. - oraka ins.,konut_sosyal_donati,75,100,11148000,160
2009,11,giresun,merkez,"giresun merkez aksu mahallesi 322 adet konut, 1 adet ticaret merkezi, altyapi ve cevre duzenlemesi insaati isi",mustafa eksi ins. tur. san. tic. ltd. sti.,konut_sosyal_donati,187,100,18350000,322
2019,11,giresun,guce,"giresun ili, guce ilcesi 2. etap 132 adet konut ve 1adet bufe insaati ile altyapi ve cevre duzenlemesi isi",7k ozturk ins. yapi malz. san. tic. ltd. sti.,konut_sosyal_donati,421,52,23390000,132
2019,12,giresun,merkez,"giresun ili, merkez ilcesi, aksu mahallesi 2. etap 309 adet konut ile altyapi ve cevre duzenlemesi isi",erensan ins. malz. ve insaat orman ur. san. ve tic. ltd. sti.,konut_sosyal_donati,422,82,47789000,309
2019,12,giresun,tirebolu,giresun ili tirebolu ilcesi 274  adet konut ve 1 adet cami insaatlari ile altyapi ve cevre duzenlemesi isi,erensan ins. malz. ve insaat orman ur. san. ve tic. ltd. sti.,konut_sosyal_donati,426,68,48720000,274
2016,7,giresun,bulancak,"giresun ili bulancak ilcesi 342 adet konut , 1'er adet cami ve ticaret merkezi insaati ile altyapi ve cevre duzenlenmesi isi",arslanlar ins. teks. gida san. ve tic. ltd. sti. &amp; erol sahin sahin yapi enerji is ortakligi,talep_organizasyon,40,100,39144000,342
2017,5,giresun,sebinkarahisar,"giresun ili sebinkarahisar ilcesi bulbul mahallesi 82 adet konut  insaati ile altyapi ve cevre duzenlemesi isi
",arstek ins. tic. a.s.  &amp; adenis ins. taah.tur. san. ve tic. a.s. is ortakligi,talep_organizasyon,105,97,9721000,82
2019,8,giresun,bulancak,"giresun ili bulancak ilcesi 2.etap 228 adet konut insaati ile altyapi ve cevre duzenlemesi isi
",aydur ins. taah. tic. ve san. turz. tas. hiz. ltd. sti.,talep_organizasyon,164,93,48680000,228
2021,4,giresun,alucra,giresun ili alucra ilcesi babapinar mah (halis akmen cok programli anadolu lisesi) 100 kisilik pansiyon ve 1 adet atolye binasi ve bulancak ilcesi ihsaniye mah (gazi ortaokulu) 16 derslikli egitim binasi ile altyapi ve cevre duzenlemesi insaati isi,,protokol_meb,36,,,
2020,4,giresun,bulancak,"giresun  ili,  bulancak  ilcesi  millet  bahcesi  ve  millet bahcesine ait sosyal donatilar insaatlari ile altyapi ve cevre duzenlemesi isi (e_ihale)","oz arel elektirik insaat danismanlik taahut sanayi ticaret limited sirketi, ahmet hamdi kurdoglu is ortakligi",millet_bahcesi,27,39,19244000,
2006,10,gumushane,kurtun,gumushane kurtun 20 konut - ozkurkun 156 konut,merve ins. taah .muh. nak.tic .ltd. sti.,afet_konutu,23,100,7990000,176
2011,3,gumushane,merkez,"gumushane merkez ozcan mahallesi 116 adet konut ile altyapi ve cevre duzenlemesi insaati isi
",aydur ins. taah. tic. ve san. turz. tas. hiz. ltd. sti.,afet_konutu,48,100,6244000,116
2005,2,gumushane,merkez,"gumushane merkez sosyal donati (ilk.o.o, carsi, cami)",cemal tartar&amp; balkent ins.ith.ihr.tic.ve san. ltd. sti.,altyapi_sosyal,33,100,1990000,
2006,1,gumushane,merkez,gumushane merkez spor salonu,akva ins. mad. gida teks. hay. med. tem. tic. san. ltd. sti,altyapi_sosyal,64,100,490000,
2006,4,gumushane,merkez,gumushane - merkez 32 dersliklli ilkogretim okulu,akva ins. mad. gida teks. hay. med. tem. tic. san. ltd. sti,altyapi_sosyal,71,100,2243000,
2008,2,gumushane,merkez,gumushane ozurlu bakim evi ve rehabilitasyon merkezi,azmi kuvvetli &amp; unsal orsal ins. ortak girisimi,altyapi_sosyal,121,100,2298000,
2010,7,gumushane,torul,gumushane torul 10 yatakli hastane insaati ile altyapi ve cevre duzenlemesi isi,ozdogan ins. taah. mad. san. nak. ve tic. ltd. sti. &amp;  orhan cihan is ort.,altyapi_sosyal,282,100,1830000,
2012,12,gumushane,kelkit,gumushane kelkit kucukcami koyu 320 ada 12 parsel 200 kisilik pansiyon ile altyapi ve cevre duzenlemesi insaati isi (ikmâl insaati),or yapi san. ve tic.ltd.sti.,altyapi_sosyal,457,100,1990000,
2009,11,gumushane,torul,"gumushane torul 246 ada 22 parsel 16 derslikli ioo, 214 ada 13 parsel cok amacli salon, kelkit ilcesi 1 ad.cami tamamlama, siran ilcesi 1 ad. cami tamamlama insaatlari ile altyapi ve cevre duzenlemesi isi",yapit ins.tic.san.ltd.sti ve sami baskan ort. girisim,altyapi_sosyal,687,91,2279910,
2012,4,gumushane,siran,gumushane ili siran ilcesi 25 yatakli devlet hastanesi insaati ile altyapi ve cevre duzenlemesi isi,nejdet ozkan,altyapi_sosyal,770,99,5095000,
2012,5,gumushane,merkez,gumushane ili 200 yatakli devlet hastanesi insaati ile altyapi ve cevre duzenlemesi isi,aras ins. taah. yapi. malz. tic. ve san. ltd. sti.,altyapi_sosyal,775,99,33872000,
2004,2,gumushane,merkez,gumushane merkez baglarbasi mah.,kontas ins. mad. san. tic. ith. ihr. ltd. sti.,idare_konut,50,100,5999000,192
2004,11,gumushane,kelkit,"gumushane kelkit buyukcami + sosyal donati (ticaret merkezi, cami, sadirvan)",basyazicioglu ins.gida ve tic.ltd.sti.&amp; tas ins.tur.ltd.sti &amp; ayhan demirci ins.tur. ve tic.ltd.sti.,idare_konut,81,100,9337680,112
2005,7,gumushane,merkez,"gumushane merkez (250), torul tugrulbey (88) konut + ilkogretim okulu(16), ticaret merkezi",gurbuz insaat san. ve tic. ltd. sti.,idare_konut,127,100,17415000,338
2010,5,gumushane,merkez,"gumushane yenimahalle yoksul konutu, sosyal tesis.",cagdas ozel egi. kurum. sag. hiz. ins. taah. san. ve tic. a.s. &amp; met ins. tic. san. ltd. sti.is ort.,idare_konut,526,98,8423991,198
2016,11,gumushane,merkez,"gumushane ili merkez ilcesi camlica mahallesi 528 adet konut, 1 adet t-4a ticaret merkezi ve 1 adet t-3 cami insaatlari ile altyapi ve cevre duzenlemesi isi
",cent ins. san. tic. a.s. &amp; basyapi ins. taah. tur. ve san. dis tic. ltd. sti. is ortakligi,idare_konut,595,97,81700000,528
2004,,gumushane,siran,"gumushane siran konut + sosyal donati (ticaret merkezi, cami, sadirvan, kutuphane)",basyazicioglu ins.gida ve tic.ltd.sti.&amp; tas ins.tur.ltd.sti &amp; ayhan demirci ins.tur. ve tic.ltd.sti.,konut_sosyal_donati,1,100,,96
2012,7,gumushane,kose,gumushane ili kose ilcesi 84 adet konut insaati ile altyapi ve cevre duzenlemesi isi,serkan ins. taah. tic. ve san. ltd. sti.,konut_sosyal_donati,370,97,5591000,84
2021,1,gumushane,merkez,gumushane ili merkez ilcesi arzular kabakoy beldesi 55 konut   1 adet ticaret merkezi insaati ile altyapi ve cevre duzenlemesi isi (e_ihale),,konut_sosyal_donati,483,,,55
2007,5,gumushane,merkez,gumushane kale (tarimkoy)konut + ilkogretim,d-muh. yapi gida ve iht. mad. san. tic. ltd. sti.,tarimkoy,13,100,3710000,60
2003,,hakkari,semdinli,hakkari baglar afet konutu,ermit muhendislik ins. san. ve tic. ltd. sti.,afet_konutu,6,100,2735000,108
2003,,hakkari,semdinli,hakkari semdinli afet konutu insati,sark ins. tur. taah.mad.isl.san. ve tic ltd. sti.,afet_konutu,7,100,1445000,44
2003,,hakkari,merkez,"hakkari gupsi cami, ticaret merkezi",zirve insaat tic.ltd.sti.,afet_konutu,14,100,11650000,192
2009,10,hakkari,merkez,"hakkari otluca koyu 4 adet  52 uniteli igpvy hait, semdinli gunyazi yeniceri  1 adet  52 uniteli igpvy hait, yuksekova yenimahalle mahallesi 1 adet  52 uniteli igpvy hait insaatlari ve altyapilari ile cevre duzenleme isleri",zirve ins. tic. ltd. sti.,altyapi_sosyal,231,100,16689844,
2011,7,hakkari,semdinli,hakkari semdinli 50 yatakli hastane insaati ile altyapi ve cevre duzenlemesi isleri,tuna muh. san. ve tic. ltd. sti.,altyapi_sosyal,335,100,8454000,
2008,6,hakkari,semdinli,"hakkari semdinli 1 adet hizmet destek tesisi, yuksekova 1 adet hizmet destek tesisi (igpvy)",ekn. ins.,altyapi_sosyal,651,98,5275000,
2011,6,hakkari,merkez,hakkari merkez 10 unitelik agiz dis sagligi ve il saglik mudurlugu hizmet binasi insaati (adsm),zirve ins. tic. ltd. sti.,altyapi_sosyal,721,3,5850000,
2011,7,hakkari,cukurca,hakkari ili cukurca ilcesi 20 yatakli devlet hastanesi ile altyapi ve cevre duzenlemesi insaati isi,niyazi bayramoglu,altyapi_sosyal,727,98,3389000,
2013,3,hakkari,merkez,"hakkari universitesi; kafeterya-yemekhane, lojman ve derslik binalari  insaati ile altyapi ve cevre duzenlemesi isi",kaldirimoglu ins.taah.tic. ima.ltd.sti.,altyapi_sosyal,802,58,25750000,
2014,3,hakkari,merkez,hakkari ili merkez ilcesi kiran mahallesi 1 adet 20 derslikli ticaret meslek lisesi ve yuksekova ilcesi yeni mah. turan mevkii 1 adet 24 derslikli anadolu lisesi insaatlari ile altyapi ve cevre duzenlemesi isi,genc ins. taah. tic. ve san. ltd. sti. &amp; eren ins. taah. tic. gida san. ve tic. ltd. sti. is ortakligi,altyapi_sosyal,850,90,7393598,
2015,6,hakkari,merkez,hakkari ili merkez ilcesi mezran mah. mulki mero mevkii 249 ada 40 parsel 1 adet 24 derslikli anadolu lisesi insaatlari ile altyapi ve cevre duzenlemesi isi,senler tur. ve ins. a.s.,altyapi_sosyal,875,97,5950000,
2019,4,hakkari,merkez,hakkari universitesi zeynel bey yerleskesi 2. etap  merkezi birimler binalari insaati ile genel altyapi ve cevre duzenlemesi isi,hsy yapi ins. san. ve tic. a.s. &amp; akin ins. mim. muh. mad. turz. nakliyat ith. ihr. ve tic. ltd. sti .&amp; kam ins. tic. ltd. sti. is ortakligi,altyapi_sosyal,892,42,53375000,
2003,,hakkari,merkez,hakkari merkez 2. etap,gul-is  ins. san.  tic. ltd. sti.,idare_konut,23,100,5985000,192
2003,,hakkari,semdinli,hakkari semdinli 64 konut + cukurca 48 konut,erek ins. taah. turz. tic. ve san. ltd. sti.,idare_konut,40,100,6300000,112
2007,6,hakkari,merkez,hakkari merkez 160 konut + sosyal tesis,kam ins.tic.ltd.sti.,idare_konut,212,100,11970000,160
2017,10,hakkari,merkez,hakkari universitesi zeynel bey kampusune ait merkezi birimler binalari ikmal insaati,iz-tas ins. metal mer. maden tarim taah. san. tic. ltd. sti. &amp; hamitoglu ins. met. nak. turz. san. taah. ve tic. ltd. sti. is ortakligi,kamu_hizmet,107,94,78000000,
2004,,hakkari,yuksekova,"hakkari yuksekova konut + ticaret merkezi, camii, sadirvan",zirve insaat tic.ltd.sti.,konut_sosyal_donati,4,100,8469000,156
2009,7,hakkari,yuksekova,hakkari yuksekova 102 konut ve lise 16 insaati,zirve ins. tic. ltd.sti.,konut_sosyal_donati,162,100,9259000,102
2007,8,hakkari,merkez,"hakkari merkez cami, ticaret merkezi + semdinli mevcut cami onarimi",etemhan ins. san. ve tic. a.s. &amp; gur-dag muh. ins. san. ve tic. ltd. sti. ortak girisim,konut_sosyal_donati,321,,,
2021,4,hakkari,merkez,"hakkari ili, merkez ilcesi, gazi mahallesi  297 adet konut insaati ile altyapi ve cevre duzenlemesi isi (e- ihale)",,konut_sosyal_donati,499,,,297
2007,4,hatay,merkez,hatay antakya  gunyazi 2. etap (252 alt gelir),mehmet celik ins. taah. tic. ve san. ltd. sti.,alt_gelir,48,100,29450000,532
2011,4,hatay,dortyol,hatay ili dortyol ilcesi 224 konut ve 1 adet sosyal tesis insaati ile altyapi ve cevre duzenlemesi isi,elda ins. tic. ve san. ltd. sti. &amp; ertug ins. san. ve tic. ltd. sti. is ort.,alt_gelir,72,100,6259000,224
2004,,hatay,merkez,"hatay merkez gunyazi ilogretim32, lise32 ve kres",can insaat san. ve tic. a.s.,altyapi_sosyal,21,100,9440000,
2011,8,hatay,kirikhan,hatay kirikhan 150 yatakli devlet hastanesi insaati isi,varyap varlibaslar yapi san. tur. yat. tic. a.s.,altyapi_sosyal,340,100,20732000,
2012,3,hatay,merkez,hatay merkez 750 yatakli devlet hastanesi ile altyapi ve cevre duzenlemesi insaati isi,altindag ins. taah. tic. ith. ihr. ltd. sti.,altyapi_sosyal,391,100,79326000,
2013,5,hatay,reyhanli,hatay ili reyhanli ilcesi bayir mahallesi 1 adet 24 derslikli ilkogretim okulu insaati ile altyapi ve cevre duzenlemesi isi,gaziantep gold yapi ins. taah. san. ve tic. ltd. sti.,altyapi_sosyal,487,100,4135000,
2013,12,hatay,dortyol,hatay ili dortyol ilcesi 500 kisilik (508 kapasiteli) yurt binasi ile altyapi ve cevre duzenlemesi insaati isi,osman acar ins. gida enerji san. ve. tic. ltd. sti.,altyapi_sosyal,545,100,12528000,
2014,4,hatay,merkez,hatay ili merkez ilcesi gunyazi mevkii 1 adet 32 derslikli ilkogretim okulu insaati ile altyapi ve cevre duzenlemesi isi,ilgaz mim.taah. ins.yapi ith. ihr.san.tic.ltd.sti.&amp;salihi ins.muh.teks.san.tic.ltd. sti.is ortakligi,altyapi_sosyal,584,100,4540000,
2016,2,hatay,altinozu,hatay  altinozu ilcesi boynuyogun mahallesi gecici barinma merkezleri altyapi ve prefabrik sosyal donati yapimi,alfen taah. ins. mad. nak. san. ve tic. ltd. sti. &amp; arikan ins. taah. tic. ve san. a.s. is ortakligi,altyapi_sosyal,610,100,24899000,
